Number,Serie,Test,H1/3 deep,Hmo deep,T1/3 deep,Tp deep,"Tm0,2 deep","Tm-1,0 deep",Lp deep,shallow 1 deep 3,beta,H1/3 toe,Hmo toe,T1/3 toe,Tp toe,"Tm0,2 toe","Tm-1,0 toe",Lp toe,shallow 1 deep 3,H1/3 trans,Hmo trans,Hmo trans at Lp toe,Kt,kr,hdeep,h,ht,hb,hc,Rc,Ac,m,toe1 or berm2,Wb,Wh,Wt,Dn50 A,tA,Dn50 F,tF,Dn50 C,tC,p,P,Gc,B,cot_ d f,cot_ incl f,cot_ excl f,cot_ u f,cot_ u b,_f,"s-1,0",Hm0/Dn50,Rc/Hmo,B/Hmo,
33,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.153,1.848,1.940,1.540,1.764,4.749,1,0.000,0.118,0.118,0.768,0.000,0.000,0.850,0.850,0.000,0.660,-0.190,-0.190,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.000,0.100,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.550,0.032,1.378,-1.242,2.614,
34,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.170,1.733,1.820,1.444,1.655,4.350,1,0.000,0.130,0.130,0.766,0.000,0.000,0.850,0.850,0.000,0.660,-0.190,-0.190,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.000,0.100,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.550,0.040,1.532,-1.118,2.353,
35,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,1.457,1.530,1.214,1.391,3.360,1,0.000,0.126,0.126,0.755,0.000,0.000,0.850,0.850,0.000,0.660,-0.190,-0.190,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.000,0.100,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.550,0.055,1.505,-1.138,2.395,
36,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.152,1.371,1.440,1.143,1.309,3.046,1,0.000,0.119,0.119,0.786,0.000,0.000,0.850,0.850,0.000,0.660,-0.190,-0.190,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.000,0.100,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.550,0.057,1.369,-1.250,2.632,
37,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174,1.314,1.380,1.095,1.255,2.809,1,0.000,0.114,0.114,0.658,0.000,0.000,0.800,0.800,0.000,0.660,-0.140,-0.140,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.000,0.100,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.550,0.071,1.568,-0.805,2.299,
38,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.157,1.238,1.300,1.032,1.182,2.520,1,0.000,0.081,0.081,0.518,0.000,0.000,0.760,0.760,0.000,0.660,-0.100,-0.100,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.000,0.100,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.550,0.072,1.414,-0.637,2.548,
39,Seelig (1980),bw 5 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134,1.105,1.160,0.921,1.055,2.004,1,0.000,0.089,0.089,0.663,0.000,0.000,0.600,0.600,0.000,0.330,-0.270,-0.270,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.130,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,1.500,0.400,0.077,1.207,-2.015,2.985,
40,Seelig (1980),bw 5 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134,1.105,1.160,0.921,1.055,2.004,1,0.000,0.087,0.087,0.652,0.000,0.000,0.600,0.600,0.000,0.330,-0.270,-0.270,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.130,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,1.500,0.400,0.077,1.207,-2.015,2.985,
41,Seelig (1980),bw 5 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.158,1.200,1.260,1.000,1.145,2.297,1,0.000,0.125,0.125,0.792,0.000,0.000,0.600,0.600,0.000,0.330,-0.270,-0.270,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.130,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,1.500,0.400,0.077,1.423,-1.709,2.532,
42,Seelig (1980),bw 5 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.178,1.276,1.340,1.063,1.218,2.646,1,0.000,0.160,0.160,0.898,0.000,0.000,0.750,0.750,0.000,0.330,-0.420,-0.420,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.130,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,1.500,0.400,0.077,1.604,-2.360,2.247,
43,Seelig (1980),bw 5 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.177,1.276,1.340,1.063,1.218,2.646,1,0.000,0.157,0.157,0.885,0.000,0.000,0.750,0.750,0.000,0.330,-0.420,-0.420,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.130,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,1.500,0.400,0.076,1.595,-2.373,2.260,
